Year,2018-2019
Semester,II
Class,18CTT2
Start Date,07-01-2019
End Date,06-04-2019
No,Course ID,Course Name,Lecturer,Day of Week,Start Hour,End Hour,Room
1,CS162,Introduction to Computer Science II,Dinh Ba Tien,Monday,7:30,11:30,B.11A
2,MTH252,Calculus II,Nguyen Huu Anh,Tuesday,7:30,11:30,I.42
3,PH212,General Physics II,Vu Thi Hanh Thu,Wednesday,7:30,11:30,B.44
4,CTH001,Fundamental principles of Marxism and Leninism,Nguyen Ngoc Thu,Thursday,7:30,11:30,I.71
5,TC001,Physical Education,Nguyen Van Thai,Friday,7:30,11:30,Phu Tho Stadium
