Year,2018-2019
Semester,II
Class,17CTT
Start Date,07-01-2019
End Date,06-04-2019
No,Course ID,Course Name,Lecturer,Day of Week,Start Hour,End Hour,Room
1,WR227,Technical Writing,Tran Minh Triet,Monday,13:30,16:30,I.41
2,STAT451,Appiled Statistics for Engineers and Scientists 1,Dinh Ngoc Thanh,Wednesday,13:30,16:30,I.41
3,CS251,Logical Structures,Nguyen Phuc Son,Tuesday,13:30,16:30,I.41
4,ECE341,Computer Hardware,Dinh Dien,Saturday,7:30,11:30,I.23
5,CTH003,Ho Chi Minh's Idealogy,Ngo Quang Dinh,Friday,7:30,11:30,I.41
