Year,2017-2018
Semester,III
Class,17CTT
Start Date,06-05-2018
End Date,10-08-2018
No,Course ID,Course Name,Lecturer,Day of Week,Start Hour,End Hour,Room
1,CS163,Data Structures,Dinh Ba Tien,Tuesday,7:30,11:30,B.11A
2,MTH253,Calculus III,Nguyen Huu Anh,Monday,7:30,11:30,I.42
3,CTH001,Fundamental principles of Marxism and Leninism,Nguyen Ngoc Thu,Wednesday,7:30,11:30,I.71
4,TC002,Physical Education 2,Nguyen Van Thai,Thursday,7:30,11:30,Phu Tho Stadium
5,PH213,General Physics III,Vu Thi Hanh Thu,Friday,7:30,11:30,B.44
