Year,2018-2019
Semester,II
Class,18CTT3
Start Date,07-01-2019
End Date,06-04-2019
No,Course ID,Course Name,Lecturer,Day of Week,Start Hour,End Hour,Room
1,CS162,Introduction to Computer Science II,Bui Tien Len,Monday,13:30,16:30,B.11A
2,MTH252,Calculus II,Le Van Luyen,Tuesday,13:30,16:30,I.42
3,PH212,General Physics II,Vu Thi Hanh Thu,Wednesday,13:30,16:30,B.44
4,CTH001,Fundamental principles of Marxism and Leninism,Le Vo Thanh Tam,Thursday,13:30,16:30,I.71
5,TC001,Physical Education,Pham Thi Le Hang,Friday,13:30,16:30,Phu Tho Stadium
